participant_id,sumber,gerakan,rep,fase,kanal,belahan,datar_frac,ptp_uv,clipping,layak_ketat,delta_db,emg_db
P08,timestamp_manual,Agem Kanan,2,Tahan,F3,kiri (A1),0.272,134.2,False,False,-2.388,0.598
P08,timestamp_manual,Agem Kanan,2,Tahan,C3,kiri (A1),0.209,136.7,False,False,-0.791,1.769
P08,timestamp_manual,Agem Kanan,2,Tahan,P3,kiri (A1),0.209,100.2,False,False,-0.197,2.24
P08,timestamp_manual,Agem Kanan,2,Tahan,O1,kiri (A1),0.283,182.6,False,False,-4.306,-1.535
P08,timestamp_manual,Agem Kanan,2,Tahan,F7,kiri (A1),0.335,152.6,False,False,-3.356,-0.422
P08,timestamp_manual,Agem Kanan,2,Tahan,T3,kiri (A1),0.335,351.9,False,False,-2.168,-0.241
P08,timestamp_manual,Agem Kanan,2,Tahan,T5,kiri (A1),0.066,70.8,False,True,7.531,3.4
P08,timestamp_manual,Agem Kanan,2,Tahan,Fp2,kanan (A2),0.0,610.1,False,False,15.033,12.367
P08,timestamp_manual,Agem Kanan,2,Tahan,F4,kanan (A2),0.02,447.7,False,False,15.767,18.572
P08,timestamp_manual,Agem Kanan,2,Tahan,C4,kanan (A2),0.094,152.3,False,False,2.943,2.529
P08,timestamp_manual,Agem Kanan,2,Tahan,P4,kanan (A2),0.031,165.0,False,False,5.46,6.929
P08,timestamp_manual,Agem Kanan,2,Tahan,O2,kanan (A2),0.0,223.0,False,False,9.604,12.048
P08,timestamp_manual,Agem Kanan,2,Tahan,F8,kanan (A2),0.0,579.1,False,False,11.329,6.964
P08,timestamp_manual,Agem Kanan,2,Tahan,T4,kanan (A2),0.0,537.3,False,False,17.944,9.267
P08,timestamp_manual,Agem Kanan,2,Tahan,T6,kanan (A2),0.0,293.3,False,False,13.65,4.835
P08,timestamp_manual,Agem Kanan,2,Naik,Fp1,kiri (A1),0.0,223.2,False,False,-1.085,2.142
P08,timestamp_manual,Agem Kanan,2,Naik,F3,kiri (A1),0.626,77.5,False,False,-22.368,-43.965
P08,timestamp_manual,Agem Kanan,2,Naik,C3,kiri (A1),0.733,86.3,False,False,-37.428,-47.127
P08,timestamp_manual,Agem Kanan,2,Naik,P3,kiri (A1),0.84,33.3,False,False,-50.064,-56.865
P08,timestamp_manual,Agem Kanan,2,Naik,O1,kiri (A1),0.107,272.6,False,False,-8.721,-10.688
P08,timestamp_manual,Agem Kanan,2,Naik,F7,kiri (A1),0.305,159.1,False,False,-11.723,-14.915
P08,timestamp_manual,Agem Kanan,2,Naik,T3,kiri (A1),0.412,180.6,False,False,-12.216,-23.221
P08,timestamp_manual,Agem Kanan,2,Naik,T5,kiri (A1),0.321,337.1,False,False,-12.41,-19.478
P08,timestamp_manual,Agem Kanan,2,Naik,Fp2,kanan (A2),0.0,375.6,False,False,5.123,1.824
P08,timestamp_manual,Agem Kanan,2,Naik,F4,kanan (A2),0.321,158.0,False,False,-2.563,1.947
P08,timestamp_manual,Agem Kanan,2,Naik,C4,kanan (A2),0.107,70.9,False,False,-4.402,-6.079
P08,timestamp_manual,Agem Kanan,2,Naik,P4,kanan (A2),0.107,80.7,False,False,-4.295,-5.302
P08,timestamp_manual,Agem Kanan,2,Naik,O2,kanan (A2),0.214,201.3,False,False,-2.893,-1.688
P08,timestamp_manual,Agem Kanan,2,Naik,F8,kanan (A2),0.0,579.1,False,False,19.731,5.745
P08,timestamp_manual,Agem Kanan,2,Naik,T4,kanan (A2),0.0,333.7,False,False,7.786,4.307
P08,timestamp_manual,Agem Kanan,2,Naik,T6,kanan (A2),0.0,497.5,False,False,9.868,-2.362
P08,timestamp_manual,Agem Kanan,2,Berdiri,Fp1,kiri (A1),0.447,319.3,False,False,8.903,-1.734
P08,timestamp_manual,Agem Kanan,2,Berdiri,F3,kiri (A1),0.106,279.8,False,False,9.952,1.042
P08,timestamp_manual,Agem Kanan,2,Berdiri,C3,kiri (A1),0.001,206.7,False,False,6.6,1.112
P08,timestamp_manual,Agem Kanan,2,Berdiri,P3,kiri (A1),0.028,169.8,False,False,5.332,0.682
P08,timestamp_manual,Agem Kanan,2,Berdiri,O1,kiri (A1),0.185,560.7,False,False,12.702,1.889
