participant_id,task,rep,phase,band,C3,C4,contra,ipsi,li_erd
P03,AGEM KIRI,4,NAIK,mu,-92.17248192519078,-80.04170059970494,-80.04170059970494,-92.17248192519078,-0.07044008308509775
P03,AGEM KIRI,4,POST,beta,66.50056151973355,454.050770274274,454.050770274274,66.50056151973355,
P03,AGEM KIRI,4,POST,mu,66.84890237989099,138.93216042662166,138.93216042662166,66.84890237989099,
P03,AGEM KIRI,4,POST,theta,79.80062926489926,16.615072554123497,16.615072554123497,79.80062926489926,
P03,AGEM KIRI,4,PRA,beta,-73.82240490716126,-82.6610029434847,-82.6610029434847,-73.82240490716126,0.056482653066703144
P03,AGEM KIRI,4,PRA,mu,-89.03192570637411,-90.29351845901648,-90.29351845901648,-89.03192570637411,0.007035213315734569
P03,AGEM KIRI,4,PRA,theta,-80.27998227392254,-94.01581248625097,-94.01581248625097,-80.27998227392254,0.0788075824274967
P03,AGEM KIRI,4,TAHAN,beta,-70.09201040639958,-26.886341100525968,-26.886341100525968,-70.09201040639958,-0.4455187022104428
P03,AGEM KIRI,4,TAHAN,mu,-89.20066319369197,-77.94530644693114,-77.94530644693114,-89.20066319369197,-0.06733848725733993
P03,AGEM KIRI,4,TAHAN,theta,-93.19119017956452,-83.4850790919324,-83.4850790919324,-93.19119017956452,-0.05493726535914572
P03,AGEM KIRI,4,TURUN,beta,89.88042397769445,32.99392591294832,32.99392591294832,89.88042397769445,
P03,AGEM KIRI,4,TURUN,mu,26.737160716727452,32.02619425264968,32.02619425264968,26.737160716727452,
P03,AGEM KIRI,4,TURUN,theta,28.323545814495333,5.852754165703397,5.852754165703397,28.323545814495333,
